,framework,sample,id,link,number,title,state,locked,created_at,closed_at
124,android,googlesamples/easypermissions,235027310,https://github.com/googlesamples/easypermissions/issues/126,126,onPermissionsDenied method is not calling,closed,False,2017-06-10 21:12:44,2017-06-13 14:55:23
28,android,googlesamples/android-Camera2Basic,364804084,https://github.com/googlearchive/android-Camera2Basic/issues/128,128,Galaxy Tab A 10.1 preview skewed,closed,True,2018-09-28 09:09:28,2019-09-19 22:52:08
2,android,googlesamples/androidtv-sample-inputs,442315870,https://github.com/googlesamples/androidtv-sample-inputs/issues/41,41,How to customize layout by new xml?,closed,False,2019-05-09 16:08:12,2019-05-13 16:04:34
46,android,googlesamples/android-vision,216612918,https://github.com/googlesamples/android-vision/issues/207,207,How to make square camera source preview and detect face from it?,closed,False,2017-03-24 00:37:56,2017-04-05 03:31:46
67,android,googlesamples/easypermissions,304336952,https://github.com/googlesamples/easypermissions/issues/207,207,if user descline info dialog onRequestPermissionsResult not called,closed,False,2018-03-12 11:37:56,2018-03-12 17:12:17
13,android,googlesamples/android-nearby,296174890,https://github.com/googlearchive/android-nearby/issues/50,50,Failed to resolve: com.google.android.gms:play-services-nearby:14.0.0,closed,True,2018-02-11 09:17:14,2018-02-11 09:20:24
1,android,googlesamples/android-MediaEffects,74325426,https://github.com/googlearchive/android-MediaEffects/issues/1,1,aplay to video,closed,True,2015-05-08 11:05:39,2016-10-05 16:06:45
277,android,googlesamples/google-services,91608177,https://github.com/googlesamples/google-services/issues/22,22,cant install GCM,closed,False,2015-06-28 15:12:28,2015-07-27 17:22:56
170,android,googlesamples/google-services,133559598,https://github.com/googlesamples/google-services/issues/171,171, Invalid key in checkin plist: GMSInstanceIDDeviceDataVersion,closed,False,2016-02-14 17:37:54,2016-04-04 17:45:57
75,android,googlesamples/android-play-billing,602893319,https://github.com/android/play-billing-samples/issues/298,298,has already been added to the window manager,closed,False,2020-04-20 02:26:33,2020-08-18 22:13:15
14,android,googlesamples/android-nearby,291424868,https://github.com/googlearchive/android-nearby/issues/49,49,Discovery onEndpointLost never called?,closed,True,2018-01-25 01:59:19,2018-02-06 23:25:53
3,android,googlesamples/android-AsymmetricFingerprintDialog,245623616,https://github.com/googlearchive/android-AsymmetricFingerprintDialog/issues/9,9,android.permission.INTERACT_ACROSS_USERS Permission Denial crash for non-fingerprint device,closed,True,2017-07-26 06:55:33,2019-10-09 18:20:19
34,android,googlesamples/android-testdpc,236616653,https://github.com/googlesamples/android-testdpc/issues/35,35,Please add repo description,closed,False,2017-06-16 22:52:03,2020-06-12 22:38:59
97,android,googlesamples/android-Camera2Basic,153654039,https://github.com/googlearchive/android-Camera2Basic/issues/43,43,Camera image upside down after orientation changes,closed,True,2016-05-08 12:46:34,2019-09-19 22:57:41
0,android,googlesamples/android-AlwaysOn,327228652,https://github.com/googlearchive/android-AlwaysOn/issues/1,1,AlwaysOn  vs Doze Mode,closed,True,2018-05-29 08:59:11,2019-09-05 18:06:49
2,android,googlesamples/android-ConfirmCredential,113590062,https://github.com/googlearchive/android-ConfirmCredential/issues/4,4,How do I decrypt the encrypted value? ,closed,True,2015-10-27 14:03:16,2015-11-01 16:15:07
213,android,googlesamples/google-services,119424626,https://github.com/googlesamples/google-services/issues/114,114,GCMExampleswift not receiving user notifications but silent notifications.,closed,False,2015-11-30 05:57:41,2015-12-05 01:06:56
44,android,googlesamples/android-play-billing,700091370,https://github.com/android/play-billing-samples/issues/355,355,TrivialDriveKotlin: Needs to be upgraded to API 29,closed,False,2020-09-12 06:04:57,2020-09-14 18:54:18
25,android,googlesamples/easypermissions,438808322,https://github.com/googlesamples/easypermissions/issues/283,283,EasyPermission Not working in HTC Device,closed,False,2019-04-30 14:28:10,2019-04-30 15:58:24
93,android,googlesamples/google-services,185290420,https://github.com/googlesamples/google-services/issues/271,271,The Sign-In keeps appears every time after closing the app android,closed,False,2016-10-26 03:45:50,2017-01-24 20:11:15
170,android,googlesamples/android-play-billing,375442768,https://github.com/android/play-billing-samples/issues/166,166,"Error: server/lib/index.js does not exist, can't deploy Firebase Functions",closed,False,2018-10-30 11:31:41,2019-12-26 19:03:24
